region,rendement
Ain,79.07
Aisne,79.64
Allier,85.11
Alpes-de-Haute-Provence,60.7
Hautes-Alpes,63.05
Alpes-Maritimes,77.75
Ardèche,80.2
Ardennes,73.64
Ariège,66.91
Aube,82.04
Aude,72.81
Aveyron,78.24
Bouches-du-Rhône,83.13
Calvados,89.06
Cantal,70.24
Charente,80.13
Charente-Maritime,88.12
Cher,82.77
Corrèze,69.27
Corse-du-Sud,81.71
Haute-Corse,66.82
Côte-d'Or,80.33
Côtes-d'Armor,90.2
Creuse,77.63
Dordogne,75.7
Doubs,80.04
Drôme,77.98
Eure,76.38
Eure-et-Loir,81.09
Finistère,85.1
Gard,73.28
Haute-Garonne,84.93
Gers,77.03
Gironde,81.89
Hérault,80.72
Ille-et-Vilaine,89.39
Indre,73.49
Indre-et-Loire,73.49
Isère,78.69
Jura,80.38
Landes,82.85
Loir-et-Cher,76.4
Loire,86.28
Haute-Loire,84.48
Loire-Atlantique,89.94
Loiret,82.67
Lot,76.63
Lot-et-Garonne,68.86
Lozère,77.95
Maine-et-Loire,90.36
Manche,83.91
Marne,76.8
Haute-Marne,78.31
Mayenne,83.88
Meurthe-et-Moselle,78.51
Meuse,69.01
Morbihan,82.77
Moselle,80.16
Nièvre,79.66
Nord,57.85
Oise,84.21
Orne,71.09
Pas-de-Calais,80.97
Puy-de-Dôme,78.29
Pyrénées-Atlantiques,82.58
Hautes-Pyrénées,73.91
Pyrénées-Orientales,75.4
Bas-Rhin,84.8
Haut-Rhin,83.2
Rhône,83.65
Haute-Saône,76.95
Saône-et-Loire,83.7
Sarthe,85.24
Savoie,71.15
Haute-Savoie,77.88
Paris,89.46
Seine-Maritime,78.77
Seine-et-Marne,87.98
Yvelines,89.3
Deux-Sèvres,86.09
Somme,75.2
Tarn,77.02
Tarn-et-Garonne,76.96
Var,88.55
Vaucluse,71.23
Vendée,88.59
Vienne,81.62
Haute-Vienne,85.27
Vosges,76.21
Yonne,70.8
Territoire de Belfort,80.76
Essonne,86.2
Hauts-de-Seine,86.2
Seine-Saint-Denis,86.2
Val-de-Marne,86.2
Val-d'Oise,80.33
Guadeloupe,49.58
Martinique,61.08
Guyane,73.28
La Réunion,65.5
Mayotte,76.89
